DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Regional and Outward Economic Integration in South-East Asia;Enzo Weber;SFB649DP2007-019.pdf;2007;\N;18.04.2007;C6;"
E32,
F15,
C32
 "
Computational Statistics and Data Visualization;Antony Unwin,Chun-houh Chen,Wolfgang Härdle;SFB649DP2007-020.pdf;2007;\N;19.04.2007;B1;"
C00,
C19,
C40,
C81,
C87
 "
Ideology Without Ideologists;Lydia Mechtenberg;SFB649DP2007-021.pdf;2007;\N;23.04.2007;A6;"
D72,
D78,
D82
 "
A Generalized ARFIMA Process with Markov-Switching Fractional Differencing Parameter;Wen-Jen Tsay,Wolfgang Härdle;SFB649DP2007-022.pdf;2007;\N;25.04.2007;B1;"
C14,
C22,
C32,
C52,
C53,
G12
 "
Time Series Modelling with Semiparametric Factor Dynamics;Szymon Borak,Wolfgang Härdle,Enno Mammen,Byeong U. Park;SFB649DP2007-023.pdf;2007;\N;26.04.2007;B1;"
C14,
C32,
G12
 "
From Animal Baits to Investors’ Preference: Estimating and Demixing of the Weight Function in Semiparametric Models for Biased Samples;Ya'acov Ritov,Wolfgang Härdle;SFB649DP2007-024.pdf;2007;\N;03.05.2007;B1;"
C10,
C14,
D01,
D81
 "
Statistics of Risk Aversion;Enzo Giacomini,Wolfgang Härdle;SFB649DP2007-025.pdf;2007;\N;03.05.2007;B1;"
C14,
G13
 "
Robust Optimal Control for a Consumption-investment Problem;Alexander Schied;SFB649DP2007-026.pdf;2007;\N;18.05.2007;A3;"
G11,
D81
 "
Long Memory Persistence in the Factor of Implied Volatility Dynamics;Wolfgang Härdle,Julius Mungo;SFB649DP2007-027.pdf;2007;\N;18.05.2007;B1;"
C14,
C32,
C52,
C53,
G12
 "
Macroeconomic Policy in a Heterogeneous Monetary Union;Oliver Grimm,Stefan Ried;SFB649DP2007-028.pdf;2007;\N;18.05.2007;C1;"
E52,
E61,
F42
 "
Comparison of Panel Cointegration Tests;Deniz Dilan Karaman Örsal;SFB649DP2007-029.pdf;2007;\N;18.05.2007;C2;"
C23,
C33,
C15
 "
Using Wiki to Build an E-learning System in Statistics in Arabic Language;Taleb Ahmad,Wolfgang Härdle,Sigbert Klinke;SFB649DP2007-031.pdf;2007;\N;25.05.2007;B1;"
I21,
C19
 "
Robust Maximization of Consumption with Logarithmic Utility;Daniel Hernández-Hernández,Alexander Schied;SFB649DP2007-030.pdf;2007;\N;25.05.2007;A3;"
G11,
D81
 "
Visualization of Competitive Market Structure by Means of Choice Data;Werner Kunz;SFB649DP2007-032.pdf;2007;\N;25.05.2007;B2;"
D49
 "
Does International Outsourcing Depress Union Wages?;Sebastian Braun,Juliane Scheffel;SFB649DP2007-033.pdf;2007;\N;25.05.2007;C7;"
F16,
J51,
L24
 "
A Note on the Effect of Outsourcing on Union Wages;Sebastian Braun,Juliane Scheffel;SFB649DP2007-034.pdf;2007;\N;25.05.2007;C7;
Explaining Asset Prices with External Habits and Wage Rigidities in a DSGE Model.;Harald Uhlig;SFB649DP2007-003a.pdf;2007;\N;25.05.2007;C1;"
E24,
E30,
G12
 "
Estimating Probabilities of Default With Support Vector Machines;Wolfgang Härdle,Rouslan Moro,Dorothea Schäfer;SFB649DP2007-035.pdf;2007;\N;01.06.2007;B1;"
C14,
G33,
C45
 "
Yxilon – A Client/Server Based Statistical Environment;Wolfgang Härdle,Sigbert Klinke,Uwe Ziegenhagen;SFB649DP2007-036.pdf;2007;\N;01.06.2007;B1;"
C88
 "
Calibrating CAT bonds for Mexican earthquakes;Wolfgang Härdle,Brenda López Cabrera;SFB649DP2007-037.pdf;2007;\N;22.06.2007;B1;"
G19,
G29,
N26,
N56,
Q29,
Q54
 "
Economic Integration and the Foreign Exchange;Enzo Weber;SFB649DP2007-038.pdf;2007;\N;06.07.2007;C6;"
F31,
F41,
C32
 "
Tracking Down the Business Cycle: A Dynamic Factor Model For Germany 1820-1913;Samad Sarferaz,Martin Uebele;SFB649DP2007-039.pdf;2007;\N;06.07.2007;C5;"
E32,
C11,
C32,
N13
 "
Optimal Policy Under Model Uncertainty: A Structural-Bayesian Estimation Approach;Alexander Kriwoluzky,Christian Stoltenberg;SFB649DP2007-040.pdf;2007;\N;13.07.2007;C1;"
E32,
C51,
E52.
 "
QuantNet – A Database-Driven Online Repository of Scientific Information;Anton Andriyashin,Wolfgang Härdle;SFB649DP2007-041.pdf;2007;\N;13.07.2007;B1;"
C88,
C89.
 "
Exchange Rate Uncertainty and Trade Growth - A Comparison of Linear and Nonlinear (Forecasting) Models;Helmut Herwartz,Henning Weber;SFB649DP2007-042.pdf;2007;\N;13.07.2007;C3;"
F14,
F17
 "
How do Rating Agencies Score in Predicting Firm Performance;Gunter Löffler,Peter N. Posch;SFB649DP2007-043.pdf;2007;\N;01.08.2007;D;"
C33,
G20,
G33
 "
Ein Vergleich des binären Logit-Modells mit künstlichen neuronalen Netzen zur Insolvenzprognose anhand relativer Bilanzkennzahlen;Ronald Franken;SFB649DP2007-044.pdf;2007;\N;01.08.2007;D;"
C45,
G32,
G33
 "
Promotion Tournaments and Individual Performance Pay;Anja Schöttner,Veikko Thiele;SFB649DP2007-045.pdf;2007;\N;01.08.2007;A4;"
D82,
D86,
M52
 "
Estimation with the Nested Logit Model: Specifications and Software Particularities;Nadja Silberhorn,Yasemin Boztug,Lutz Hildebrandt;SFB649DP2007-046.pdf;2007;\N;01.08.2007;B2;"
C13,
C31,
C87,
M31
 "
Risiken infolge von Technologie-Outsourcing?;Michael Stephan;SFB649DP2007-047.pdf;2007;\N;01.08.2007;D;"
L23,
L24,
L25,
O32,
O33
 "
Sensitivities for Bermudan Options by Regression Methods;Denis Belomestny,Grigori Milstein,John Schoenmakers;SFB649DP2007-048.pdf;2007;\N;01.08.2007;B7;"
G12,
G13
 "
Occupational Choice and the Spirit of Capitalism;Matthias Doepke,Fabrizio Zilibotti;SFB649DP2007-049.pdf;2007;\N;02.08.2007;D;"
J24,
N2,
N3,
O11,
O15,
O40
 "
On the Utility of E-Learning in Statistics;Wolfgang Härdle,Sigbert Klinke,Uwe Ziegenhagen;SFB649DP2007-050.pdf;2007;\N;09.08.2007;B1;"
I21,
C19
 "
Mergers & Acquisitions and Innovation Performance in the Telecommunications Equipment Industry;Tseveen Gantumur,Andreas Stephan;SFB649DP2007-051.pdf;2007;\N;22.08.2007;D;"
L63,
O30,
L10
 "
Capturing Common Components in High-Frequency Financial Time Series: A Multivariate Stochastic Multiplicative Error Model;Nikolaus Hautsch;SFB649DP2007-052.pdf;2007;\N;05.09.2007;B8;"
C15,
C32,
C52
 "
World War II, Missing Men, and Out-of-wedlock Childbearing;Michael Kvasnicka, Dirk Bethmann;SFB649DP2007-053.pdf;2007;\N;05.09.2007;C7;"
J12,
J13,
N34
 "
The Drivers and Implications of Business Divestiture – An Application and Extension of Prior Findings;Carolin Decker,Thomas Mellewigt;SFB649DP2007-054.pdf;2007;\N;05.09.2007;D;"
G34,
L11,
L25,
M10
 "
Why Managers Hold Shares of Their Firms: An Empirical Analysis;Ulf von Lilienfeld-Toal, Stefan Ruenzi;SFB649DP2007-055.pdf;2007;\N;19.09.2007;D;"
G12,
G30
 "
Auswirkungen der IFRS-Umstellung auf die Risikoprämie von Unternehmensanleihen - Eine empirische Studie für Deutschland, Österreich und die Schweiz;Kerstin Kiefer,Philipp Schorn;SFB649DP2007-056.pdf;2007;\N;26.09.2007;D;"
M41,
G32
 "
Conditional Complexity of Compression for Authorship Attribution;Mikhail B. Malyutov,Chammi I. Wickramasinghe,Sufeng Li;SFB649DP2007-057.pdf;2007;\N;26.09.2007;D;"
C12,
C15,
C63
 "
Total Work, Gender and Social Norms;Michael Burda,Daniel S. Hamermesh,Philippe Weil;SFB649DP2007-058.pdf;2007;\N;26.09.2007;C7;"
J22,
J16,
D13
 "
Long-Term Orientation In Family And Non-Family Firms: A Bayesian Analysis;Jörn Hendrich Block,Andreas Thams;SFB649DP2007-059.pdf;2007;\N;21.11.2007;C6;"
C11,
D21,
G31,
G32,
L20,
M31,
O32
 "
Kombinierte Liquiditäts- und Solvenzkennzahlen und ein darauf basierendes Insolvenzprognosemodell für deutsche GmbHs;Volodymyr Perederiy;SFB649DP2007-060.pdf;2007;\N;21.11.2007;D;"
C13,
C25,
G32,
G33
 "
Embedding R in the Mediawiki;Sigbert Klinke,Olga Zlatkin-Troitschanskaia;SFB649DP2007-061.pdf;2007;\N;21.11.2007;B1;"
C63
 "
Das Hybride Wahlmodell und seine Anwendung im Marketing;Till Dannewald,Henning Kreis,Nadja Silberhorn;SFB649DP2007-062.pdf;2007;\N;21.11.2007;B2;"
M30,
C51,
C10
 "
Determinants of the Acquisition of Smaller Firms by Larger Incumbents in High-Tech Industries: Are they related to Innovation and Technology Sourcing?;Marcus Wagner;SFB649DP2007-063.pdf;2007;\N;29.11.2007;D;"
L10,
L86,
M20
 "
Correlation vs. Causality in Stock Market Comovement;Enzo Weber;SFB649DP2007-064.pdf;2007;\N;07.12.2007;C6;"
C32,
G10
 "
Integrating latent variables in discrete choice models – How higher-order values and attitudes determine consumer choice;Dirk Temme,Marcel Paulssen,Till Dannewald;SFB649DP2007-065.pdf;2007;\N;07.12.2007;B2;"
C25,
C51,
C87,
M31,
R41
 "
Modelling Financial High Frequency Data Using Point Processes;Luc Bauwens,Nikolaus Hautsch;SFB649DP2007-066.pdf;2007;\N;10.12.2007;B8;"
C22,
C32,
C41
 "
A stochastic volatility Libor model and its robust calibration;Denis Belomestny,Stanley Matthew,John Schoenmakers;SFB649DP2007-067.pdf;2007;\N;12.12.2007;B7;"
J31,
I19,
C51
 "
Why Votes Have a Value;Ingolf Dittmann,Dorothea Kübler,Ernst Maug,Lydia Mechtenberg;SFB649DP2007-068.pdf;2007;\N;17.12.2007;A6;"
C92,
D72,
G32
 "
Solving Linear Rational Expectations Models with Lagged Expectations Quickly and Easily;Alexander Meyer-Gohde;SFB649DP2007-069.pdf;2007;\N;17.12.2007;C10;"
C32,
C63
 "
Telling the Truth May Not Pay Off: An Empirical Study of Centralised University Admissions in Germany;Sebastian Braun,Nadja Dwenger,Dorothea Kübler;SFB649DP2007-070.pdf;2007;\N;20.12.2007;A6;"
C78,
D02,
D78,
I29
 "
Reassessing Intergenerational Mobility in Germany and the United States: The Impact of Differences in Lifecycle Earnings Patterns;Thorsten Vogel;SFB649DP2006-055.pdf;2006;\N;11.09.2006;C7;"
D31,
J31,
J62
 "
Calibration Risk for Exotic Options;Kai Detlefsen,Wolfgang Härdle,,,;SFB649DP2006-001.pdf;2006;;06.01.2006;B1;"
C13,
G12
 "
Calibration Design of Implied Volatility Surfaces;Kai Detlefsen,Wolfgang Härdle,,,;SFB649DP2006-002.pdf;2006;;09.01.2006;B1;"
C80,
G13
 "
On the Appropriateness of Inappropriate VaR Models;"Wolfgang Härdle,Zden&#283;k Hlávka,Gerhard Stahl,,";SFB649DP2006-003.pdf;2006;;10.01.2006;B1;"
C51,
C52,
G20
 "
British Interest Rate Convergence between the US and Europe: A Recursive Cointegration Analysis;Enzo Weber;SFB649DP2006-005.pdf;2006;\N;18.01.2006;C6;"
E43,
E44,
C32
 "
A Combined Approach for Segment-Specific Analysis of Market Basket Data;Yasemin Boztug, Thomas Reutterer;SFB649DP2006-006.pdf;2006;\N;24.01.2006;B2;"
C31,
C33,
C35,
C63,
M31
 "
Robust Utility Maximization in a Stochastic Factor Model;Daniel Hernández–Hernández, Alexander Schied;SFB649DP2006-007.pdf;2006;\N;11.09.2006;A3;"
G11,
D81
 "
Economic Growth of Agglomerations and Geographic Concentration of Industries – Evidence for Germany;Kurt Geppert, Martin Gornig, Axel Werwatz;SFB649DP2006-008.pdf;2006;\N;26.01.2006;B3;"
C14,
C16,
R12,
R30
 "
Regional Labor Markets, Network Externalities and Migration: The Case of German Reunification;Harald Uhlig;SFB649DP2006-004.pdf;2006;\N;06.02.2006;C1;"
E20,
E24,
J6,
J1
 "
Institutions, Bargaining Power and Labor Shares;Benjamin Bental, Dominique Demougin;SFB649DP2006-009.pdf;2006;\N;26.01.2006;A4;"
D02,
D24
 "
Common Functional Principal Components;Michal Benko, Wolfgang Härdle, Alois Kneip;SFB649DP2006-010.pdf;2006;\N;30.01.2006;B1;"
C14,
G19
 "
Core Labour Standards and FDI: Friends or Foes? The Case of Child Labour;Sebastian Braun;SFB649DP2006-014.pdf;2006;\N;24.02.2006;C7;"
C33,
F23,
J82
 "
VAR Modeling for Dynamic Semiparametric Factors of Volatility Strings;Ralf Brüggemann,Wolfgang Härdle,Julius Mungo,Carsten Trenkler;SFB649DP2006-011.pdf;2006;http://sfb649.wiwi.hu-berlin.de/papers/pdf/DSFM-VAR modeling(XploRe).zip;03.02.2006;B1,C2;"
C14,
C32
 "
The Anglo-German Industrial Productivity Paradox, 1895-1938: A Restatement and a Possible Resolution;Albrecht Ritschl;SFB649DP2006-048.pdf;2006;\N;22.06.2006;C5;"
N10,
N60
 "
Bootstrapping Systems Cointegration Tests with a Prior Adjustment for Deterministic Terms;Carsten Trenkler;SFB649DP2006-012.pdf;2006;\N;10.02.2006;C2;"
C12,
C13,
C15,
C32
 "
Penalties and Optimality in Financial Contracts: Taking Stock;Michel A. Robe,Eva-Maria Steiger,Pierre-Armand Michel;SFB649DP2006-013.pdf;2006;\N;14.02.2006;A4;"
G32,
D82
 "
Graphical Data Representation in Bankruptcy Analysis;Wolfgang Härdle, Rouslan  Moro, Dorothea Schäfer;SFB649DP2006-015.pdf;2006;\N;24.02.2006;B1;"
C14,
G33,
C45
 "
Fiscal Policy Effects in the European Union;Andreas Thams;SFB649DP2006-016.pdf;2006;\N;27.02.2006;C6;"
E30,
E31,
E42,
E62,
E63
 "
Estimation with the Nested Logit Model: Specifications and Software Particularities;Nadja Silberhorn,Yasemin Boztug,Lutz Hildebrandt;SFB649DP2006-017.pdf;2006;\N;28.02.2006;B2;"
C13,
C51,
C87,
M31
 "
The Bologna Process: How student mobility affects multi-cultural skills and educational quality;Lydia Mechtenberg, Roland Strausz;SFB649DP2006-018.pdf;2006;\N;02.03.2006;A6;"
D61,
H77,
I28
 "
Cheap Talk in the Classroom;Lydia Mechtenberg;SFB649DP2006-019.pdf;2006;\N;03.03.2006;A6;"
D82,
I21,
J16
 "
Time Dependent Relative Risk Aversion;Enzo Giacomini,Michael Handel,Wolfgang Härdle;SFB649DP2006-020.pdf;2006;\N;13.03.2006;B1;"
C13,
C22,
G12
 "
Barrier Option Hedging under Constraints: A Viscosity Approach;Imen Bentahar,Bruno Bouchard;SFB649DP2006-022.pdf;2006;\N;30.03.2006;A3;"
C60,
G13
 "
Finite Sample Properties of Impulse Response Intervals in SVECMs with Long-Run Identifying Restrictions;Ralf Brüggemann;SFB649DP2006-021.pdf;2006;\N;07.03.2006;C2;"
C32,
C53,
C15
 "
How Far Are We From The Slippery Slope? The Laffer Curve Revisited;Mathias Trabandt,Harald Uhlig;SFB649DP2006-023.pdf;2006;\N;03.04.2006;C1;"
E0,
E60,
H0
 "
e-Learning Statistics - A Selective Review;Wolfgang Härdle,Sigbert Klinke,Uwe Ziegenhagen;SFB649DP2006-024.pdf;2006;\N;04.04.2006;B1;"
I21,
C19
 "
Macroeconomic Regime Switches and Speculative Attacks;Bartosz Mackowiak;SFB649DP2006-025.pdf;2006;\N;05.04.2006;C3;"
E52,
E61,
F33
 "
External Shocks, U.S. Monetary Policy and Macroeconomic Fluctuations in Emerging Markets;Bartosz Mackowiak;SFB649DP2006-026.pdf;2006;\N;05.04.2006;C3;"
F41,
E3,
O11
 "
Institutional Competition, Political Process and Holdup;Bruno Deffains, Dominique Demougin;SFB649DP2006-027.pdf;2006;\N;07.04.2006;A4;"
D02,
D24
 "
Technological Choice under Organizational Diseconomies of Scale;Dominique Demougin, Anja Schöttner;SFB649DP2006-028.pdf;2006;\N;20.04.2006;A4;"
D82,
L23,
O33
 "
Tail Conditional Expectation for vector-valued Risks;Imen Bentahar;SFB649DP2006-029.pdf;2006;\N;21.04.2006;A3;"
C60,G13
 "
Approximate Solutions to Dynamic Models – Linear Methods;Harald Uhlig;SFB649DP2006-030.pdf;2006;\N;24.04.2006;C1;"
C60,
C61,
C63,
E32
 "
Exploratory Graphics of a Financial Dataset;Antony Unwin, Martin Theus, Wolfgang Härdle;SFB649DP2006-031.pdf;2006;\N;25.04.2006;B1;"
C14,
G33,
C45
 "
 When did the 2001 recession really start?;Jörg Polzehl,Vladimir Spokoiny,Catalin Starica;SFB649DP2006-032.pdf;2006;\N;26.04.2006;B5;"
C14,
C16,
C32
 "
Varying coefficient GARCH versus local constant volatility modeling. Comparison of the predictive power;Jörg Polzehl,Vladimir Spokoiny;SFB649DP2006-033.pdf;2006;\N;26.04.2006;B5;"
C14,
C22,
C53
 "
Spectral calibration of exponential Lévy Models [1];Denis Belomestny,Markus Reiß;SFB649DP2006-034.pdf;2006;\N;27.04.2006;B5,C4;"
G13,
C14
 "
Spectral calibration of exponential Lévy Models [2];Denis Belomestny, Markus Reiß;SFB649DP2006-035.pdf;2006;\N;28.04.2006;B5,C4;"
G13,
C14
 "
Spatial aggregation of local likelihood estimates with applications to classification;Denis Belomestny,Vladimir Spokoiny;SFB649DP2006-036.pdf;2006;\N;28.04.2006;B5;"
C13,
C14
 "
A jump-diffusion Libor model and its robust calibration;Denis Belomestny,John Schoenmakers;SFB649DP2006-037.pdf;2006;\N;26.04.2006;B5;"
C15,G12
 "
Adaptive Simulation Algorithms for Pricing American and Bermudan Options by Local Analysis of Financial Market;Denis Belomestny,Grigori N. Milstein;SFB649DP2006-038.pdf;2006;\N;28.04.2006;B5;"
C15,G12
 "
Macroeconomic Integration in Asia Pacific: Common Stochastic Trends and Business Cycle Coherence;Enzo Weber;SFB649DP2006-039.pdf;2006;\N;02.05.2006;C6;"
E32,
F15,
C32
 "
In Search of Non-Gaussian Components of a High-Dimensional Distribution;Gilles Blanchard, Motoaki Kawanabe, Masashi Sugiyama, Vladimir Spokoiny, Klaus-Robert Müller;SFB649DP2006-040.pdf;2006;\N;02.05.2006;B5;"
C14,
C51
 "
Forward and reverse representations for Markov chains;Grigori N. Milstein, John Schoenmakers, Vladimir Spokoiny;SFB649DP2006-041.pdf;2006;\N;02.05.2006;B5;"
C13,
C15
 "
"Discussion of ""The Source of Historical Economic Fluctu- ations: An Analysis using Long-Run Restrictions"" by Neville Francis and Valerie A. Ramey";Harald Uhlig;SFB649DP2006-042.pdf;2006;\N;08.05.2006;C1;"
E22,
E23,
E24,
E32,
C32
 "
An Iteration Procedure for Solving Integral Equations Related to Optimal Stopping Problems;Denis Belomestny,Pavel V. Gapeev;SFB649DP2006-043.pdf;2006;\N;17.05.2006;B5;"
C15,
G12
 "
East Germany’s Wage Gap: A non-parametric decomposition based on establishment characteristics;Bernd Görzig, Martin Gornig, Axel Werwatz;SFB649DP2006-044.pdf;2006;;31.05.2006;B3;"
J31,
L16,
C14,
C31
 "
Firm Specific Wage Spread in Germany - Decomposition of regional differences in inter firm wage dispersion;Bernd Görzig, Martin Gornig, Axel Werwatz;SFB649DP2006-045.pdf;2006;;31.05.2006;B3;"
L16,
C14,
J30
 "
Produktdiversifizierung: Haben die ostdeutschen Unternehmen den Anschluss an den Westen geschafft? – Eine vergleichende Analyse mit Mikrodaten der amtlichen Statistik;Bernd Görzig, Martin Gornig, Axel Werwatz;SFB649DP2006-046.pdf;2006;\N;31.05.2006;B3;"
P23,
L60,
C14
 "
The Division of Ownership in New Ventures;Dominique Demougin, Oliver Fabel;SFB649DP2006-047.pdf;2006;;01.06.2006;A4;"
M13,
M21
 "
The Influence of Information Costs on the Integration of Financial Markets: Northern Europe, 1350-1560;Oliver Volckart;SFB649DP2006-049.pdf;2006;\N;22.06.2006;C5;"
E44,
F31,
F36,
N24
 "
Robust Econometrics;Pavel Cizek,Wolfgang Härdle;SFB649DP2006-050.pdf;2006;\N;30.06.2006;B1;"
 "
Regression methods in pricing American and Bermudan options using consumption processes;Denis Belomestny,Grigori N. Milstein,Vladimir Spokoiny;SFB649DP2006-051.pdf;2006;\N;06.07.2006;B5;"
C15,
G12
 "
Forecasting the Term Structure of Variance Swaps;Kai Detlefsen,Wolfgang Härdle;SFB649DP2006-052.pdf;2006;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet052_PrgsVarSwaps.zip;06.07.2006;B1;"
G1,
D4,
C5
 "
Governance: Who Controls Matters;Bruno Deffains,Dominique Demougin;SFB649DP2006-053.pdf;2006;\N;25.07.2006;A4;"
G3
 "
On the Coexistence of Banks and Markets;Hans Gersbach,Harald Uhlig;SFB649DP2006-054.pdf;2006;\N;14.08.2006;C1;"
G24,
G28,
G32,
G38,
D80,
D92,
D43
 "
The Euro and the Transatlantic Capital Market Leadership: A Recursive Cointegration Analysis;Enzo Weber;SFB649DP2006-056.pdf;2006;\N;11.09.2006;C6;"
E44,
F36,
C32
 "
Discounted Optimal Stopping for Maxima in Diffusion Models with Finite Horizon;Pavel V. Gapeev;SFB649DP2006-057.pdf;2006;\N;11.09.2006;B5;"
G13
 "
Perpetual Barrier Options in Jump-Diffusion Models;Pavel V. Gapeev;SFB649DP2006-058.pdf;2006;\N;11.09.2006;B5;"
G13
 "
Discounted Optimal Stopping for Maxima of some Jump-Diffusion Processes;Pavel V. Gapeev;SFB649DP2006-059.pdf;2006;\N;11.09.2006;B5;"
G13
 "
On Maximal Inequalities for some Jump Processes;Pavel V. Gapeev;SFB649DP2006-060.pdf;2006;\N;11.09.2006;B5;"
G13
 "
A Control Approach to Robust Utility Maximization with Logarithmic Utility and Time-Consistent Penalties;Daniel Hernandez–Hernandez,Alexander Schied;SFB649DP2006-061.pdf;2006;\N;11.09.2006;A3;"
G11,
D81
 "
On the Difficulty to Design Arabic E-learning System in Statistics;Taleb Ahmad,Wolfgang Härdle,Julius Mungo;SFB649DP2006-062.pdf;2006;\N;11.09.2006;B1;"
I21,
C19
 "
Robust Optimization of Consumption with Random Endowment;Wiebke Wittmüß;SFB649DP2006-063.pdf;2006;\N;11.09.2006;A3;"
D11,
D81
 "
Common and Uncommon Sources of Growth in Asia Pacific;Enzo Weber;SFB649DP2006-064.pdf;2006;\N;11.09.2006;C6;"
O11,
F15,
C32
 "
Forecasting Euro-Area Variables with German Pre-EMU Data;Ralf Brüggemann,Helmut Lütkepohl,Massimiliano Marcellino;SFB649DP2006-065.pdf;2006;;11.09.2006;C2;"
C22,
C53
 "
Pension Sytems and the Allocation of Macroeconomic Risk;Lans Bovenberg,Harald Uhlig;SFB649DP2006-066.pdf;2006;;11.09.2006;C1;"
E21,
E61,
E62,
O40,
H21,
H55
 "
Testing for the Cointegrating Rank of a VAR Process with Level Shift and Trend Break;Carsten Trenkler,Pentti Saikkonen,Helmut Lütkepohl;SFB649DP2006-067.pdf;2006;;11.09.2006;C2;"
C32
 "
Integral Options in Models with Jumps;Pavel V. Gapeev;SFB649DP2006-068.pdf;2006;\N;11.09.2006;B5;"
G13
 "
Constrained General Regression in Pseudo-Sobolev Spaces with Application to Option Pricing;Zdenek Hlavka,Michal Pesta;SFB649DP2006-069.pdf;2006;;25.09.2006;B1;"
C10,
C13,
C14,
C20,
C88,
G13
 "
The Welfare Enhancing Effects of a Selfish Government in the Presence of Uninsurable, Idiosyncratic Risk;R. Anton Braun,Harald Uhlig;SFB649DP2006-070.pdf;2006;;25.09.2006;C1;"
H20,
H21,
H23,
D31,
D33,
E21,
E62
 "
Color Harmonization in Car Manufacturing Process;Anton Andriyashin,Michal Benko,Wolfgang Härdle,Roman Timofeev,Uwe Ziegenhagen;SFB649DP2006-071.pdf;2006;\N;06.10.2006;B1;"
C14,
C19,
C89
 "
Optimal Interest Rate Stabilization in a Basic Sticky-Price Model;Matthias Paustian,Christian Stoltenberg;SFB649DP2006-072.pdf;2006;\N;12.10.2006;C1;"
E32,
E52,
E58
 "
Real Balance Effects, Timing and Equilibrium Determination;Christian Stoltenberg;SFB649DP2006-073.pdf;2006;\N;12.10.2006;C1;"
E32,
E41,
E52
 "
Multiple Disorder Problems for Wiener and Compound Poisson Processes With Exponential Jumps;Pavel Gapeev;SFB649DP2006-074.pdf;2006;\N;24.10.2006;B5;"
G13
 "
Inhomogeneous Dependency Modelling with Time Varying Copulae;Enzo Giacomini,Wolfgang Härdle,Ekaterina Ignatieva,Vladimir Spokoiny;SFB649DP2006-075.pdf;2006;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet075_TVC.rar;14.11.2006;B1,B5;"
C14
 "
Convenience Yields for CO2 Emission Allowance Futures Contracts;Szymon Borak,Wolfgang Härdle,Stefan Trück,Rafal Weron;SFB649DP2006-076.pdf;2006;\N;14.11.2006;B1;"
Q28,
G13,
C19
 "
Estimation of Default Probabilities with Support Vector Machines;Shiyi Chen,Wolfgang Härdle,Rouslan Moro;SFB649DP2006-077.pdf;2006;\N;16.11.2006;B1;"
C14,
G33,
C45,
G32
 "
GHICA - Risk Analysis with GH Distributions and Independent Components;Ying Chen,Wolfgang Härdle,Vladimir Spokoiny;SFB649DP2006-078.pdf;2006;\N;16.11.2006;B1,B5;"C14,
C16,
C32,
C61,
G20
 "
Do Individuals Recognize Cascade Behavior of Others? - An Experimental Study;Tim Grebe,Julia Schmid,Andreas Stiehler;SFB649DP2006-079.pdf;2006;\N;27.11.2006;A6;"
C91,
D81,
D82
 "
The Uniqueness of Extremum Estimation;Volker Krätschmer;SFB649DP2006-080.pdf;2006;\N;11.12.2006;A3;"
C13,
C16
 "
Compactness in Spaces of Inner Regular Measures and a General Portmanteau Lemma;Volker Krätschmer;SFB649DP2006-081.pdf;2006;\N;11.12.2006;A3;"
C65
 "
Probleme der Validierung mit Strukturgleichungsmodellen;Lutz Hildebrandt,Dirk Temme;SFB649DP2006-082.pdf;2006;\N;11.12.2006;B2;"
C31,
C51,
C52,
M31
 "
Formative Measurement Models in Covariance Structure Analysis: Specification and Identification;Dirk Temme,Lutz Hildebrandt;SFB649DP2006-083.pdf;2006;\N;11.12.2006;B2;"
C31,
C51,
C52,
M31
 "
PLS Path Modeling – A Software Review;Dirk Temme,Henning Kreis,Lutz Hildebrandt;SFB649DP2006-084.pdf;2006;\N;18.12.2006;B2;"
C31,
C87,
M31
 "
Relational Contracts and Inequity Aversion;Jenny Kragl,Julia Schmid;SFB649DP2006-085.pdf;2006;\N;18.12.2006;A4,A6;"
D63,
D82,
M52,
M54
 "
Overreaction and Multiple Tail Dependence at the High-frequency Level — The Copula Rose;Wing Lon Ng;SFB649DP2006-086.pdf;2006;\N;18.12.2006;D;"
C14,
C22,
G14
 "
What kind of shock was it? Regional Integration and Structural Change in Germany after Unification;Michael C. Burda;SFB649DP2006-087.pdf;2006;\N;21.12.2006;C7;"
F2,
J61,
P23
 "
Imitation with Intention and Memory: an Experiment;Astrid Matthey;SFB649DP2006-088.pdf;2006;\N;21.12.2006;A6;"
D01,
D83
 "
Biases in Estimates of the Smoking Wage Penalty;Silke Anger,Michael Kvasnicka;SFB649DP2006-089.pdf;2006;\N;15.05.2010;C7;"
J31,
I19,
C51
 "
Integrable e-lements for Statistics Education;Wolfgang Härdle,Sigbert Klinke,Uwe Ziegenhagen,,;SFB649DP2005-058.pdf;2005;;08.12.2005;B1;"
I21,
C19
 "
Competitive Risk Sharing Contracts with One-Sided Commitment;Harald Uhlig,Dirk Krueger,,,;SFB649DP2005-003.pdf;2005;http://sfb649.wiwi.hu-berlin.de/papers/pdf/quantlet003_KingsProblem.zip;10.02.2005;C1;"
G22,
E21,
D11,
D91
 "
An empirical test of theories of price valuation using a semiparametric approach, reference prices, and accounting for heterogeneity;Yasemin Boztug,Lutz Hildebrandt,,,;SFB649DP2005-057.pdf;2005;;01.12.2005;B2;"
C14,
C23,
C25,
D12,
M31
 "
